manufacturer,model_name,price,url,movement_type,metal_type,hour_markers,bezel_type,years_available,discontinued
Patek Philippe,Complications,39995.00,https://www.bobswatches.com/patek-philippe/patek-philippe-complications-perpetual-calendar-ref-5040-yellow-gold.html,Automatic,Yellow Gold,Breguet,Smooth,1990s,Yes
Patek Philippe,Complications,109995.00,https://www.bobswatches.com/patek-philippe/patek-philippe-grand-complications-perpetual-calendar-chronograph-silver-dial.html,Manual,Rose Gold,Index,Smooth,2010 - Present,Yes
Patek Philippe,Complications,37995.00,https://www.bobswatches.com/patek-philippe/patek-philippe-complications-18k-rose-gold-diamond-bezel.html,Automatic,Rose Gold,Arabic,Diamond,2010 - Present,Yes
Patek Philippe,Complications,41995.00,https://www.bobswatches.com/patek-philippe/patek-philippe-complications-rose-gold-olive-green-dial.html,Automatic,Rose Gold,Index,Diamond,2010 - Present,No
Patek Philippe,Complications,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-complications-chronograph-18k-white-gold.html,Automatic,White Gold,Arabic,Smooth,2010 - Present,Not listed
Patek Philippe,Aquanaut,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-aquanaut-black-embossed-dial.html,Automatic,Stainless Steel,Arabic,Smooth,2010 - Present,Not listed
Patek Philippe,Complications,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-complications-annual-calendar-18k-white-gold.html,Automatic,White Gold,Arabic,Smooth,2010 - Present,Not listed
Patek Philippe,Calatrava,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-calatrava-ivory-dial.html,Automatic,Rose Gold,Index,Smooth,2010 - Present,Not listed
Patek Philippe,Calatrava,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-calatrava-black-dial.html,Automatic,Stainless Steel,Arabic,Smooth,Not listed,Not listed
Patek Philippe,Nautilus,Not listed,https://www.bobswatches.com/patek-philippe/pre-owned-patek-phillipe-nautilus-stainless-steel.html,Automatic,Stainless Steel,Index,Not listed,2000s,Not listed
Patek Philippe,Nautilus,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-nautilus-18k-rose-gold.html,Automatic,Rose Gold,Index,Smooth,2010 - Present,Not listed
Patek Philippe,Complications,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-complications-annual-calendar-18k-rose-gold.html,Automatic,Rose Gold,Index,Smooth,2010 - Present,Not listed
Patek Philippe,Golden Ellipse,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-ellipse-yellow-gold.html,Manual,Yellow Gold,Index,Smooth,1980s,Not listed
Patek Philippe,Calatrava,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-calatrava-18k-white-gold.html,Automatic,White Gold,Arabic,Smooth,2000s,Not listed
Patek Philippe,Gondolo,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-gondolo-18k-rose-gold.html,Manual,Rose Gold,Arabic,Smooth,2010 - Present,Not listed
Patek Philippe,Aquanaut,Not listed,https://www.bobswatches.com/patek-philippe/pre-owned-patek-philippe-aquanaut-stainless-steel.html,Automatic,Stainless Steel,Arabic,Smooth,2000s,Not listed
Patek Philippe,Calatrava,Not listed,https://www.bobswatches.com/patek-philippe/mens-patek-philippe-calatrava-white-gold.html,Automatic,White Gold,Index,Smooth,2010 - Present,Not listed
Patek Philippe,Aquanaut,Not listed,https://www.bobswatches.com/patek-philippe/ladies-patek-philippe-aquanaut-stainless-steel.html,Automatic,Stainless Steel,Arabic,Smooth,1990s,Not listed
Patek Philippe,Calatrava,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-calatrava-3919.html,Manual,Yellow Gold,Roman,Not listed,Not listed,Not listed
Patek Philippe,Complications,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-perpetual-calendar-18k-yellow-gold.html,Automatic,Yellow Gold,Arabic,Smooth,1990s,Not listed
Patek Philippe,Complications,Not listed,https://www.bobswatches.com/patek-philippe/pre-owned-patek-philippe-annual-calendar.html,Automatic,Yellow Gold,Roman,Smooth,2000s,Not listed
Patek Philippe,Nautilus,Not listed,https://www.bobswatches.com/patek-philippe/patek-phillipe-nautilus-stainless-steel-blue-dial.html,Automatic,Stainless Steel,Index,Not listed,2000s,Not listed
Patek Philippe,Complications,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-complications-annual-calendar-moon-phases.html,Automatic,White Gold,Index,Smooth,2010 - Present,Not listed
Patek Philippe,Nautilus,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-nautilus-flyback-chronograph-18k-rose-gold.html,Automatic,Rose Gold,Index,Not listed,2010 - Present,Not listed
Patek Philippe,Nautilus,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-nautilus-chronograph-date-rose-gold.html,Automatic,Rose Gold,Index,Smooth,2010 - Present,Not listed
